iter	Passed	Remaining
861	3136	502
862	3140	498
863	3143	494
864	3146	491
865	3150	487
866	3153	483
867	3157	480
868	3160	476
869	3164	472
870	3167	469
871	3170	465
872	3174	461
873	3177	458
874	3181	454
875	3184	450
876	3187	447
877	3190	443
878	3194	439
879	3197	435
880	3200	432
881	3203	428
882	3207	424
883	3210	421
884	3213	417
885	3217	413
886	3220	410
887	3225	406
888	3228	403
889	3232	399
890	3242	396
891	3245	392
892	3248	389
893	3251	385
894	3255	381
895	3258	378
896	3261	374
897	3265	370
898	3268	367
899	3272	363
900	3275	359
901	3278	356
902	3281	352
903	3284	348
904	3288	345
905	3291	341
906	3295	337
907	3298	334
908	3302	330
909	3306	326
910	3309	323
911	3313	319
912	3319	316
913	3327	313
914	3331	309
915	3335	305
916	3341	302
917	3346	298
918	3349	295
919	3353	291
920	3357	287
921	3360	284
922	3364	280
923	3368	277
924	3371	273
925	3375	269
926	3378	266
927	3381	262
928	3385	258
929	3388	255
930	3394	251
931	3397	247
932	3401	244
933	3404	240
934	3408	236
935	3411	233
936	3414	229
937	3418	225
938	3421	222
939	3425	218
940	3428	214
941	3431	211
942	3435	207
943	3439	204
944	3442	200
945	3446	196
946	3449	193
947	3454	189
948	3457	185
949	3461	182
950	3465	178
951	3470	174
952	3473	171
953	3477	167
954	3481	164
955	3486	160
956	3489	156
957	3493	153
958	3497	149
959	3500	145
960	3504	142
961	3508	138
962	3512	134
963	3517	131
964	3520	127
965	3524	124
966	3530	120
967	3533	116
968	3537	113
969	3540	109
970	3544	105
971	3547	102
972	3550	98
973	3554	94
974	3558	91
975	3561	87
976	3564	83
977	3567	80
978	3570	76
979	3575	72
980	3580	69
981	3583	65
982	3587	62
983	3590	58
984	3594	54
985	3597	51
986	3601	47
987	3605	43
988	3609	40
989	3612	36
990	3616	32
991	3620	29
992	3624	25
993	3629	21
994	3632	18
995	3636	14
996	3639	10
997	3642	7
998	3645	3
999	3648	0
